year,Base case cost,Modeled wind power
2019,1204497.83,1507781.48995
2020,1281212.25869,1563971.48968
2021,1331678.41135,1598002.02539
2022,1372025.27742,1623420.56639
2023,1401024.74216,1639637.92642
2024,1425363.08295,1652047.23646
2025,1454148.58007,1668463.74808
2026,1487435.78798,1688937.23187
2027,1516611.96832,1706138.40787
2028,1541510.02381,1719895.61658
2029,1575304.1427,1741446.39581
2030,1596306.7762,1752319.17122
2031,1630573.94798,1774701.32711
2032,1669109.23403,1800880.42038
2033,1703652.76809,1823880.66276
2034,1743047.87592,1851253.29287
2035,1769011.65286,1867287.80186
2036,1808701.52278,1895273.44948
2037,1835500.04946,1912453.50459
2038,1875497.32289,1941050.06781
