year,Base case diesel consumed,Modeled diesel efficiency
2019,428646.91459,389679.013263
2020,429936.999562,390851.817784
2021,430963.887168,391785.351971
2022,431454.489755,392231.354323
2023,432415.043876,393104.585342
2024,433241.058648,393855.507862
2025,434074.203007,394612.911825
2026,434922.745025,395384.313659
2027,435808.036874,396189.124431
2028,436688.392015,396989.447287
2029,437584.484084,397804.07644
2030,438545.817637,398678.016033
2031,439507.80269,399552.5479
2032,440398.214783,400362.013439
2033,441360.820749,401237.109771
2034,442397.938052,402179.943683
2035,443361.316505,403055.742277
2036,444398.408545,403998.553223
2037,445509.720743,405008.837039
2038,446546.981641,405951.801491
