year,annotation,Average Load
2003,,493.0
2004,,511.0
2005,,492.0
2006,,496.0
2007,,515.0
2008,,525.0
2009,,538.0
2010,,546.0
2011,,570.0
2012,,595.0
2013,,659.0
2014,,681.0
2015,,666.0
2016,start of forecast,673.0
2017,,674.0
2018,,675.0
2019,,676.0
2020,,677.0
2021,,678.0
2022,,680.0
2023,,681.0
2024,,682.0
2025,,683.0
2026,,685.0
2027,,686.0
2028,,687.0
2029,,688.0
2030,,690.0
2031,,691.0
2032,,693.0
2033,,694.0
2034,,695.0
2035,,697.0
2036,,698.0
2037,,700.0
2038,,702.0
2039,,703.0
2040,,705.0
