year,Base case diesel consumed,Modeled wind power
2019,428646.91459,352966.262413
2020,429936.999562,354256.347386
2021,430963.887168,355283.234991
2022,431454.489755,355773.837579
2023,432415.043876,356734.3917
2024,433241.058648,357560.406471
2025,434074.203007,358393.550831
2026,434922.745025,359242.092848
2027,435808.036874,360127.384697
2028,436688.392015,361007.739839
2029,437584.484084,361903.831908
2030,438545.817637,362865.16546
2031,439507.80269,363827.150514
2032,440398.214783,364717.562606
2033,441360.820749,365680.168572
2034,442397.938052,366717.285875
2035,443361.316505,367680.664329
2036,444398.408545,368717.756369
2037,445509.720743,369829.068567
2038,446546.981641,370866.329464
