year,Base case cost,Modeled wind power
2019,257104.637691,438895.27337
2020,275989.528611,452102.418136
2021,290049.984562,462259.423605
2022,301550.776971,470921.342937
2023,311199.646911,478441.058068
2024,318925.820273,484747.794891
2025,328834.195272,492527.015082
2026,340177.2204,501386.026268
2027,349316.664214,508751.174409
2028,358818.825327,516479.039849
2029,369788.811933,525319.871646
2030,378703.400511,532815.023685
2031,390828.62697,542456.236201
2032,402604.406274,551748.001563
2033,414535.003938,561194.585285
2034,427499.935689,571320.643958
2035,436256.019756,578657.291486
2036,449798.202818,589360.601471
2037,459060.764089,597203.726203
2038,472918.481712,608222.570749
