year,Base case cost,Modeled water and wastewater efficiency
2017,118925.080409,116309.428527
2018,124527.419876,118752.488728
2019,131890.404493,121956.972576
2020,135568.061774,123575.343081
2021,138162.783253,124727.705568
2022,140110.270027,125601.987629
2023,141626.368067,126290.949496
2024,142712.387309,126795.451177
2025,144241.647732,127492.052731
2026,145997.159197,128287.371684
2027,147314.771482,128893.574652
2028,148634.279189,129500.790951
2029,150204.171925,130221.183059
2030,151329.374407,130748.477518
2031,153112.397806,131559.507422
