year,Base case diesel consumed,Modeled wind power
2019,97388.1203376,55702.862389
2020,98567.6887898,56882.4308412
2021,99673.5342138,57988.2762652
2022,100853.102666,59167.8447175
2023,102032.671118,60347.4131697
2024,103212.23957,61526.9816219
2025,104391.808023,62706.5500742
2026,105645.099503,63959.8415547
2027,106824.667955,65139.4100069
2028,108077.959436,66392.7014874
2029,109404.973945,67719.7159961
2030,110731.988453,69046.7305049
2031,111985.279934,70300.0219854
2032,113091.125358,71405.8674094
2033,114196.970782,72511.7128333
2034,115229.093178,73543.8352291
2035,116334.938602,74649.680653
2036,117440.784026,75755.526077
2037,118620.352478,76935.0945292
2038,119726.197902,78040.9399532
