year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12879.7892847,2657.19171644
2018,12889.7386174,2659.24433423
2019,12899.9672489,2661.35457332
2020,12910.3041036,2663.48713962
2021,12920.6074638,2665.61279578
2022,12931.025586,2667.76212815
2023,12941.5325821,2669.92979583
2024,12952.2824466,2672.14756899
2025,12963.1289247,2674.38527421
2026,12974.1188553,2676.65257471
2027,12985.0092365,2678.89933746
2028,12995.8438381,2681.13459247
2029,13007.9876608,2683.63994906
2030,13019.8085484,2686.07868187
2031,13031.1976106,2688.42832604
