year,Base case cost,Brevig mission water system heat recovery
2019,491056.559196,475342.15473
2020,506463.580977,488375.256512
2021,517055.908452,497335.513986
2022,524759.419342,503852.064877
2023,530537.05251,508739.478045
2024,534388.807955,511997.75349
2025,540166.441123,516885.166658
2026,546907.013153,522587.148688
2027,551721.707459,526659.992994
2028,556536.401766,530732.837301
2029,562314.034934,535620.250469
2030,566165.790379,538878.525914
2031,572906.362409,544580.507944
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
