year,Base case cost,Modeled biomass for heat (pellet)
2017,170901.550062,215574.515305
2018,190865.620062,229822.477842
2019,217484.380062,248819.761224
2020,230793.760062,258318.402915
2021,239666.680062,264650.83071
2022,247060.780062,269927.853871
2023,251497.240062,273094.067768
2024,255194.290062,275732.579349
2025,260370.160062,279426.495563
2026,266285.440062,283648.114092
2027,270721.900062,286814.327989
2028,275158.360062,289980.541886
2029,280334.230062,293674.458099
2030,283291.870062,295785.267364
2031,289207.150062,300006.885893
2032,,
2033,,
2034,,
2035,,
2036,,
