year,Base case cost,Modeled biomass for heat (cordwood)
2017,170901.550062,223758.804191
2018,190865.620062,238526.412861
2019,217484.380062,258216.557754
2020,230793.760062,268061.6302
2021,239666.680062,274625.011831
2022,247060.780062,280094.496524
2023,251497.240062,283376.187339
2024,255194.290062,286110.929686
2025,260370.160062,289939.56897
2026,266285.440062,294315.156724
2027,270721.900062,297596.84754
2028,275158.360062,300878.538355
2029,280334.230062,304707.17764
2030,283291.870062,306894.971517
2031,289207.150062,311270.559271
2032,,
2033,,
2034,,
2035,,
2036,,
