year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,73857.4000892,54654.476066
2018,73857.4000892,54654.476066
2019,73857.4000892,54654.476066
2020,73857.4000892,54654.476066
2021,73857.4000892,54654.476066
2022,73857.4000892,54654.476066
2023,73857.4000892,54654.476066
2024,73857.4000892,54654.476066
2025,73857.4000892,54654.476066
2026,73857.4000892,54654.476066
2027,73857.4000892,54654.476066
2028,73857.4000892,54654.476066
2029,73857.4000892,54654.476066
2030,73857.4000892,54654.476066
2031,73857.4000892,54654.476066
