year,Base case diesel consumed,Modeled residential ashp
2017,64800.0075277,33117.4010456
2018,63295.4335227,31612.8270405
2019,63295.4335227,31612.8270405
2020,61790.8595176,30108.2530354
2021,61790.8595176,30108.2530354
2022,60286.2855125,28603.6790303
2023,58781.7115074,27099.1050252
2024,57277.1375023,25594.5310201
2025,55772.5634972,24089.9570151
2026,54267.9894922,22585.38301
2027,52763.4154871,21080.8090049
2028,51258.841482,19576.2349998
2029,49754.2674769,18071.6609947
2030,46745.1194667,15062.5129846
2031,45240.5454617,13557.9389795
