year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,4.49
2004,,1.59,4.49
2005,,1.93,4.49
2006,,2.64,4.9
2008,,3.08,5.63
2009,,3.93,7.04
2010,,2.94,5.42
2011,,3.05,6.1
2012,,3.72,7.48
2013,,4.01,7.22
2014,,,7.16
2016,start of forecast,1.93,4.13
2017,,2.3,4.5
2018,,2.58,4.78
2019,,2.95,5.15
2020,,3.12,5.32
2021,,3.25,5.45
2022,,3.34,5.54
2023,,3.4,5.6
2024,,3.45,5.65
2025,,3.51,5.71
2026,,3.59,5.79
2027,,3.65,5.85
2028,,3.71,5.91
2029,,3.78,5.98
2030,,3.82,6.02
2031,,3.9,6.1
2032,,3.98,6.18
2033,,4.05,6.25
2034,,4.14,6.34
2035,,4.19,6.39
2036,,4.27,6.47
2037,,4.32,6.52
2038,,4.4,6.6
2039,,4.47,6.67
2040,,4.56,6.76
