year,Base case diesel consumed,Scammon bay hydroelectric project
2021,131758.049738,89244.4692159
2022,132204.183089,89690.6025672
2023,132650.316441,90136.7359185
2024,133170.80535,90657.2248283
2025,133616.938702,91103.3581795
2026,134137.427611,91623.8470893
2027,134657.916521,92144.3359991
2028,135178.405431,92664.8249089
2029,135698.894341,93185.3138187
2030,136219.383251,93705.8027285
2031,136814.227719,94300.6471969
2032,137334.716629,94821.1361067
2033,137855.205539,95341.6250165
2034,138450.050007,95936.4694848
2035,139044.894475,96531.3139531
2036,139639.738944,97126.1584215
2037,140234.583412,97721.0028898
2038,140829.42788,98315.8473582
2039,141424.272349,98910.6918265
2040,142093.472376,99579.8918534
2041,142688.316844,100174.736322
2042,143357.516871,100843.936349
2043,144026.716898,101513.136376
2044,144695.916925,102182.336402
2045,145365.116951,102851.536429
2046,146108.672537,103595.092015
2047,146777.872564,104264.292042
2048,147521.428149,105007.847627
2049,148264.983735,105751.403212
2050,149008.53932,106494.958798
