year,Base case diesel consumed,Modeled diesel efficiency
2019,130865.783036,118968.893669
2020,131311.916387,119374.469443
2021,131758.049738,119780.045216
2022,132204.183089,120185.62099
2023,132650.316441,120591.196764
2024,133170.80535,121064.3685
2025,133616.938702,121469.944274
2026,134137.427611,121943.11601
2027,134657.916521,122416.287747
2028,135178.405431,122889.459483
2029,135698.894341,123362.631219
2030,136219.383251,123835.802955
2031,136814.227719,124376.570654
2032,137334.716629,124849.74239
2033,137855.205539,125322.914126
2034,138450.050007,125863.681824
2035,139044.894475,126404.449523
2036,139639.738944,126945.217221
2037,140234.583412,127485.98492
2038,140829.42788,128026.752618
