year,Base case cost,Scammon bay hydroelectric project
2021,428213.661649,547907.755273
2022,441561.971518,553039.853977
2023,451011.075898,555533.475103
2024,459439.278459,557498.3383
2025,468995.454843,560314.797357
2026,481553.365125,565471.132147
2027,491501.395302,568885.215758
2028,501511.884149,572461.040365
2029,512941.820608,577170.286682
2030,520358.044017,579109.448412
2031,533575.488104,585410.367806
2032,546592.172182,591600.824122
2033,558313.582431,596967.168927
2034,573183.207029,604801.878473
2035,582598.107851,608797.886968
2036,596261.685289,615975.751309
2037,605813.40034,620270.898435
2038,619649.482673,627779.787609
2039,632166.497398,634429.07539
2040,647946.234032,643649.81363
2041,650658.724808,643323.08346
2042,653710.276931,643406.646307
2043,656761.829053,643559.77156
2044,659813.381176,643780.828667
2045,662864.933298,644068.225552
2046,666255.546768,644759.468555
2047,669307.098891,645174.91681
2048,672697.71236,645991.210027
2049,676088.32583,646867.838838
2050,679478.939299,647803.389235
