year,Base case diesel consumed,Modeled residential energy efficiency
2017,52762.8400013,43861.718766
2018,54875.2812299,45974.1599946
2019,56987.7224585,48086.6012232
2020,59100.1636871,50199.0424518
2021,61212.6049157,52311.4836804
2022,64029.1932204,55128.0719851
2023,66141.634449,57240.5132137
2024,68958.2227538,60057.1015185
2025,71070.6639824,62169.5427471
2026,73887.2522872,64986.1310519
2027,75999.6935158,67098.5722805
2028,78816.2818205,69915.1605852
2029,81632.8701253,72731.74889
2030,84449.4584301,75548.3371948
2031,87266.0467349,78364.9254996
