year,Base case cost,Modeled non-residential energy efficiency
2017,1140132.66571,1234638.45044
2018,1196784.49601,1287255.27769
2019,1273830.98521,1358814.16274
2020,1310088.1566,1392488.93218
2021,1335014.96193,1415640.33616
2022,1353143.54762,1432477.72088
2023,1366739.98689,1445105.75942
2024,1378070.35295,1455629.12487
2025,1389400.71901,1466152.49032
2026,1405263.23149,1480885.20195
2027,1418859.67076,1493513.24048
2028,1430190.03682,1504036.60593
2029,1443786.47609,1516664.64447
2030,1452850.76894,1525083.33683
2031,1468713.28142,1539816.04846
