year,Base case diesel consumed,Modeled non-residential ashp
2017,120149.408718,70790.3033173
2018,122830.918052,73471.8126506
2019,125512.427385,76153.3219839
2020,126853.182052,77494.0766506
2021,129534.691385,80175.5859839
2022,132216.200718,82857.0953173
2023,133556.955385,84197.8499839
2024,136238.464718,86879.3593173
2025,138919.974052,89560.8686506
2026,141601.483385,92242.3779839
2027,142942.238052,93583.1326506
2028,145623.747385,96264.6419839
2029,148305.256718,98946.1513172
2030,150986.766052,101627.660651
2031,153668.275385,104309.169984
