year,Base case cost,Modeled water and wastewater efficiency
2017,79961.4329429,54264.3938243
2018,83921.3987957,56163.1914027
2019,89276.1384355,58726.8398074
2020,91880.4083474,59983.1282326
2021,93720.5973209,60876.1813836
2022,95104.1458647,61552.3658723
2023,96182.7616639,62083.6751627
2024,97113.3987528,62545.1851239
2025,98048.2079166,63009.1089425
2026,99298.0790972,63623.7285234
2027,100394.743449,64165.4600638
2028,101338.452421,64634.4684891
2029,102463.253011,65192.6934061
2030,103274.903033,65601.2754653
2031,104551.033003,66231.0588697
