year,Base case diesel consumed,Modeled residential ashp
2017,120149.408718,8799.92032812
2018,122830.918052,11481.4296614
2019,125512.427385,14162.9389948
2020,126853.182052,15503.6936614
2021,129534.691385,18185.2029948
2022,132216.200718,20866.7123281
2023,133556.955385,22207.4669948
2024,136238.464718,24888.9763281
2025,138919.974052,27570.4856614
2026,141601.483385,30251.9949947
2027,142942.238052,31592.7496614
2028,145623.747385,34274.2589947
2029,148305.256718,36955.7683281
2030,150986.766052,39637.2776614
2031,153668.275385,42318.7869947
