year,Base case cost,Modeled biomass for heat (cordwood)
2017,311872.49881,390474.573821
2018,348337.48881,415603.689626
2019,398917.95881,451212.988863
2020,423620.04881,467729.378259
2021,440088.10881,478198.382695
2022,453027.29881,486098.110501
2023,462437.61881,491427.623599
2024,469495.35881,495055.773121
2025,478905.67881,500460.733375
2026,489492.28881,506771.863457
2027,498902.60881,512248.775728
2028,505960.34881,516020.869757
2029,516546.95881,522436.168045
2030,522428.40881,525405.505374
2031,534191.30881,532756.010874
2032,,
2033,,
2034,,
2035,,
2036,,
