year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,117629.0,83911.4959091
2018,117629.0,83911.4959091
2019,117629.0,83911.4959091
2020,117629.0,83911.4959091
2021,117629.0,83911.4959091
2022,117629.0,83911.4959091
2023,117629.0,83911.4959091
2024,117629.0,83911.4959091
2025,117629.0,83911.4959091
2026,117629.0,83911.4959091
2027,117629.0,83911.4959091
2028,117629.0,83911.4959091
2029,117629.0,83911.4959091
2030,117629.0,83911.4959091
2031,117629.0,83911.4959091
2032,,
2033,,
2034,,
2035,,
2036,,
