year,Base case cost,Modeled biomass for heat (pellet)
2017,311872.49881,371556.691933
2018,348337.48881,396666.24732
2019,398917.95881,431866.346473
2020,423620.04881,448626.584748
2021,440088.10881,459533.20212
2022,453027.29881,467942.185363
2023,462437.61881,473853.072511
2024,469495.35881,478104.52738
2025,478905.67881,484052.569232
2026,489492.28881,490857.652865
2027,498902.60881,496841.128206
2028,505960.34881,501163.469983
2029,516546.95881,508019.852287
2030,522428.40881,511536.079112
2031,534191.30881,519263.802944
2032,,
2033,,
2034,,
2035,,
2036,,
