year,annotation,Average Load
2003,,134.0
2004,,136.0
2005,,127.0
2006,,136.0
2007,,132.0
2008,,129.0
2009,,133.0
2010,,152.0
2011,,168.0
2012,,155.0
2013,,147.0
2014,,142.0
2015,,150.0
2016,start of forecast,149.0
2017,,149.0
2018,,150.0
2019,,150.0
2020,,151.0
2021,,151.0
2022,,151.0
2023,,152.0
2024,,152.0
2025,,152.0
2026,,153.0
2027,,153.0
2028,,153.0
2029,,154.0
2030,,154.0
2031,,154.0
2032,,155.0
2033,,155.0
2034,,156.0
2035,,156.0
2036,,156.0
2037,,157.0
2038,,157.0
2039,,158.0
2040,,158.0
