year,Base case cost,Modeled wind power
2019,311813.096183,490984.794894
2020,331163.393557,498587.293277
2021,345231.733478,502675.7197
2022,354985.410642,503888.122184
2023,363221.359862,504366.247603
2024,369166.772857,503334.207562
2025,375904.075819,502893.369466
2026,385277.587086,504559.097278
2027,393379.230594,505398.497288
2028,399707.011219,505232.790011
2029,408916.860333,507085.086342
2030,413969.837555,506195.893143
2031,423241.335193,508329.857962
2032,432548.060559,510605.208286
2033,442197.522361,513326.964682
2034,452638.14022,516615.10011
2035,458879.319347,517106.731778
2036,469714.781322,520985.128301
2037,476340.529812,522052.166264
2038,486935.26898,525876.204182
