year,Base case cost,Modeled solar power (pv)
2016,202852.999858,216662.455949
2017,241919.082284,254781.455742
2018,271356.252416,283450.686107
2019,311813.096183,322978.883437
2020,331163.393557,341751.177019
2021,345231.733478,355332.187214
2022,354985.410642,364671.482998
2023,363221.359862,372533.328926
2024,369166.772857,378143.975761
2025,375904.075819,384539.228306
2026,385277.587086,393548.482498
2027,393379.230594,401309.179487
2028,399707.011219,407333.655599
2029,408916.860333,416203.20387
2030,413969.837555,420982.212135
2031,423241.335193,429928.376764
2032,432548.060559,438917.244252
2033,442197.522361,448256.163651
2034,452638.14022,458379.228477
2035,458879.319347,464366.314234
