year,Base case diesel consumed,Modeled wind power
2019,102233.802027,71229.2727801
2020,102527.366426,71522.8371793
2021,102747.539726,71743.0104787
2022,102894.321925,71889.7926784
2023,103187.886325,72183.3570776
2024,103408.059624,72403.530377
2025,103554.841824,72550.3125766
2026,103848.406223,72843.8769758
2027,104068.579522,73064.0502752
2028,104362.143921,73357.6146744
2029,104582.317221,73577.7879739
2030,104802.49052,73797.9612733
2031,105022.66382,74018.1345727
2032,105242.837119,74238.3078721
2033,105536.401518,74531.8722713
2034,105756.574818,74752.0455707
2035,105976.748117,74972.2188701
2036,106270.312516,75265.7832693
2037,106563.876916,75559.3476686
2038,106784.050215,75779.520968
