year,Base case cost,Modeled water and wastewater efficiency
2017,4399.02064433,4009.68458088
2018,4628.94691065,4194.15352233
2019,4958.08751926,4461.5727973
2020,5109.52340552,4580.94246054
2021,5210.25486581,4658.23007594
2022,5273.93119953,4704.73039449
2023,5320.11577475,4736.81970592
2024,5348.15833753,4753.91020484
2025,5382.70472659,4776.56862682
2026,5431.60546488,4811.30755443
2027,5469.51440943,4837.0373464
2028,5490.39989248,4848.69357382
2029,5547.94640563,4891.13356143
2030,5567.15601454,4901.71590963
2031,5607.87921913,4930.2711556
