year,Base case diesel consumed,Modeled residential ashp
2017,9219.57377266,-47572.3586066
2018,9219.57377266,-47572.3586066
2019,9219.57377266,-47572.3586066
2020,9037.11813336,-47754.8142459
2021,9037.11813336,-47754.8142459
2022,8854.66249406,-47937.2698852
2023,8854.66249406,-47937.2698852
2024,8854.66249406,-47937.2698852
2025,8672.20685476,-48119.7255245
2026,8672.20685476,-48119.7255245
2027,8489.75121546,-48302.1811638
2028,8489.75121546,-48302.1811638
2029,8307.29557615,-48484.6368031
2030,8307.29557615,-48484.6368031
2031,8307.29557615,-48484.6368031
