year,Base case diesel consumed,Modeled residential energy efficiency
2017,56791.9323792,48823.4099708
2018,56791.9323792,48823.4099708
2019,56791.9323792,48823.4099708
2020,55668.0183475,47699.4959391
2021,55668.0183475,47699.4959391
2022,54544.1043158,46575.5819074
2023,54544.1043158,46575.5819074
2024,54544.1043158,46575.5819074
2025,53420.1902841,45451.6678757
2026,53420.1902841,45451.6678757
2027,52296.2762524,44327.753844
2028,52296.2762524,44327.753844
2029,51172.3622207,43203.8398123
2030,51172.3622207,43203.8398123
2031,51172.3622207,43203.8398123
