year,Base case diesel consumed,Modeled residential ashp
2017,3374231.44205,1423503.88963
2018,3379585.85323,1428858.30081
2019,3383601.66161,1432874.10919
2020,3380924.45603,1430196.9036
2021,3379585.85323,1428858.30081
2022,3372892.83926,1422165.28683
2023,3363522.6197,1412795.06727
2024,3355491.00293,1404763.4505
2025,3343443.57778,1392716.02535
2026,3328718.94704,1377991.39461
2027,3312655.7135,1361928.16107
2028,3296592.47996,1345864.92754
2029,3280529.24643,1329801.694
2030,3261788.8073,1311061.25488
2031,3239032.5598,1288305.00737
