year,Base case cost,Modeled transmission and interties
2021,148402608.018,
2022,153863411.254,
2023,157154527.612,
2024,160458485.958,
2025,163824165.212,
2026,168140047.427,
2027,172074569.87,
2028,175567093.824,
2029,179972216.639,
2030,182661779.61,
2031,187689253.902,
2032,192349328.673,
2033,197463390.194,
2034,202628979.995,
2035,206456261.411,
2036,212221368.478,
2037,215729684.391,
2038,221620044.938,
2039,226162714.111,
2040,232139389.336,
