year,Base case cost,Modeled solar power (pv)
2016,270149.378268,276198.317867
2017,331007.20524,336386.632817
2018,378505.997023,383378.026816
2019,443816.835725,447989.836393
2020,474987.917833,478853.598364
2021,495768.639238,499447.038211
2022,513580.686157,517107.676983
2023,523971.046859,527430.097675
2024,534361.407562,537753.965672
2025,544751.768265,548079.262165
2026,558110.803454,561343.133518
2027,569985.5014,573140.192003
2028,580375.862102,583470.038293
2029,593734.897291,596739.152064
2030,601156.583507,604133.770073
2031,615999.95594,618875.228245
2032,629358.991129,632149.388749
2033,644202.363561,646894.753078
2034,659045.735993,661642.092943
2035,669436.096696,671982.339419
