year,Base case diesel consumed,Modeled solar power
2020,430472.390435,423674.022529
2021,434729.419534,427985.438571
2022,439473.219333,432783.190218
2023,444190.057811,437553.548929
2024,448916.730421,442333.31361
2025,453799.950869,447269.201392
2026,458729.644866,452251.141385
2027,463730.290702,457303.61525
2028,468745.202539,462369.940489
2029,473906.75605,467582.496097
2030,479145.596066,472871.930193
2031,484463.834142,478240.357596
2032,489780.43642,483606.747686
2033,495251.466164,489127.16694
2034,500799.892485,494724.587655
2035,506502.10663,500475.404238
2036,512281.485791,506302.997019
2037,518292.078773,512361.417911
2038,524379.6689,518496.453325
2039,530544.345415,524708.195564
