year,Base case diesel consumed,Modeled transmission and interties
2021,434729.419534,-34016.8836349
2022,439473.219333,-33896.5883877
2023,444190.057811,-33880.312871
2024,448916.730421,-33931.2616312
2025,453799.950869,-33902.7209633
2026,458729.644866,-33904.7651552
2027,463730.290702,-33912.9159166
2028,468745.202539,-33906.8006784
2029,473906.75605,-33908.1605834
2030,479145.596066,-33909.2923928
2031,484463.834142,-33908.0845515
2032,489780.43642,-33908.5125092
2033,495251.466164,-33908.6298178
2034,500799.892485,-33908.4089595
2035,506502.10663,-33908.5170955
2036,512281.485791,-33908.5186243
2037,518292.078773,-33908.4815598
2038,524379.6689,-33908.5057599
2039,530544.345415,-33908.5019813
2040,536786.082108,-33908.4964336
