year,Base case cost,Modeled solar power
2020,1274198.27569,1312781.34306
2021,1338966.61216,1375651.01061
2022,1388735.37309,1423830.10048
2023,1430291.98615,1463966.04227
2024,1467957.70848,1500310.29736
2025,1511153.83639,1542151.23356
2026,1559680.79254,1589290.13642
2027,1604506.80583,1632824.62208
2028,1645295.66091,1672416.23495
2029,1696586.18666,1722411.87592
2030,1734507.05776,1759256.29575
2031,1787671.54799,1811184.18988
2032,1846472.2453,1868715.49881
2033,1901765.63007,1922830.0463
2034,1963135.57854,1982988.11031
2035,2010813.36332,2029662.89257
2036,2074740.01745,2092431.78204
2037,2124997.52297,2141736.35707
2038,2186663.21931,2202354.95627
2039,2244202.5811,2258930.4393
