year,Base case diesel consumed,Modeled wind power
2019,425785.054354,301265.335791
2020,430472.390435,305952.671871
2021,434729.419534,310209.70097
2022,439473.219333,314953.500769
2023,444190.057811,319670.339247
2024,448916.730421,324397.011857
2025,453799.950869,329280.232305
2026,458729.644866,334209.926302
2027,463730.290702,339210.572138
2028,468745.202539,344225.483975
2029,473906.75605,349387.037486
2030,479145.596066,354625.877502
2031,484463.834142,359944.115579
2032,489780.43642,365260.717856
2033,495251.466164,370731.7476
2034,500799.892485,376280.173921
2035,506502.10663,381982.388066
2036,512281.485791,387761.767227
2037,518292.078773,393772.360209
2038,524379.6689,399859.950336
