year,Base case cost,Modeled wind power
2019,1187940.30165,1581817.44368
2020,1274198.27569,1636755.2545
2021,1338966.61216,1675802.4966
2022,1388735.37309,1704384.6502
2023,1430291.98615,1727167.48285
2024,1467957.70848,1747408.00951
2025,1511153.83639,1772406.19823
2026,1559680.79254,1801955.80351
2027,1604506.80583,1829133.04251
2028,1645295.66091,1853595.34086
2029,1696586.18666,1886703.56673
2030,1734507.05776,1909866.58096
2031,1787671.54799,1945348.23397
2032,1846472.2453,1985649.83034
2033,1901765.63007,2023736.7026
2034,1963135.57854,2067072.711
2035,2010813.36332,2100112.74209
2036,2074740.01745,2146449.06802
2037,2124997.52297,2182502.03465
2038,2186663.21931,2228057.71422
