year,Base case cost,Modeled diesel efficiency
2019,3649.45390705,135772.771528
2020,3859.79707172,132859.576516
2021,4017.55444522,129971.335939
2022,4122.72602756,127106.344546
2023,4206.86329343,124291.620295
2024,4269.96624283,121525.536577
2025,4343.58635046,118835.188539
2026,4438.24077456,116228.586355
2027,4522.37804043,113675.53211
2028,4585.48098983,111164.985524
2029,4669.6182557,108733.746686
2030,4722.20404687,106332.599408
2031,4816.85847097,104027.093784
2032,4911.51289507,101777.640216
2033,5016.68447741,99592.4859762
2034,5111.33890151,97451.2261978
2035,5174.44185091,95333.4857234
2036,5279.61343325,93304.968582
2037,5342.71638265,91287.9914074
2038,5447.88796499,89357.8759338
