year,Base case cost,Modeled non-residential energy efficiency
2017,14349526.3194,15770984.7329
2018,15387492.5351,16741758.8401
2019,16814696.0816,18103345.0905
2020,17463424.9665,18687994.5851
2021,17949971.6301,19111963.7182
2022,18274336.0725,19375217.291
2023,18533827.6264,19575030.2641
2024,18728446.2918,19711369.0624
2025,18955501.4015,19881510.2395
2026,19247429.3997,20117858.2277
2027,19506920.9536,20323072.4274
2028,19701539.6191,20464685.8612
2029,19961031.173,20672414.4974
2030,20123213.3942,20784046.9914
2031,20415141.3924,21026610.024
