year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,1051.72,18375.64,3243644.42,14640.4
2018,1051.72,18442.36,3243644.42,14816.67
2019,1051.72,18505.07,3243644.42,14981.19
2020,1051.72,18566.25,3243644.42,15145.71
2021,1051.72,18626.52,3243644.42,15310.23
2022,1051.72,18682.55,3243644.42,15463.0
2023,1051.72,18736.44,3243644.42,15604.01
2024,1051.72,18788.77,3243644.42,15745.03
2025,1051.72,18841.78,3243644.42,15886.04
2026,1051.72,18895.14,3243644.42,16027.06
2027,1051.72,18949.36,3243644.42,16168.08
2028,1051.72,19003.61,3243644.42,16320.84
2029,1051.72,19047.97,3243644.42,16438.36
2030,1051.72,19094.61,3243644.42,16567.62
2031,1051.72,19144.26,3243644.42,16696.89
