year,Base case diesel consumed,Modeled wind power
2019,311156.451977,236173.426557
2020,311431.832975,236448.807554
2021,311569.523474,236586.498053
2022,311776.059222,236793.033801
2023,311844.904471,236861.87905
2024,311982.59497,236999.569549
2025,312120.285469,237137.260048
2026,312120.285469,237137.260048
2027,312120.285469,237137.260048
2028,312189.130718,237206.105297
2029,312120.285469,237137.260048
2030,312120.285469,237137.260048
2031,312051.440219,237068.414799
2032,312051.440219,237068.414799
2033,311982.59497,236999.569549
2034,311844.904471,236861.87905
2035,311776.059222,236793.033801
2036,311638.368723,236655.343302
2037,311569.523474,236586.498053
2038,311431.832975,236448.807554
