year,Base case diesel consumed,Modeled residential ashp
2017,15922.1318347,8930.47639122
2018,15922.1318347,8930.47639122
2019,15922.1318347,8930.47639122
2020,15922.1318347,8930.47639122
2021,15922.1318347,8930.47639122
2022,15922.1318347,8930.47639122
2023,15922.1318347,8930.47639122
2024,15922.1318347,8930.47639122
2025,13952.1011325,6960.445689
2026,13952.1011325,6960.445689
2027,13952.1011325,6960.445689
2028,13952.1011325,6960.445689
2029,13952.1011325,6960.445689
2030,13952.1011325,6960.445689
2031,13952.1011325,6960.445689
