year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,4794886,1157780
2004,,0,0,0,0,4585210,1861780
2005,,0,0,0,0,4889470,1150072
2006,,0,0,0,0,4479390,2532792
2007,,0,0,0,0,6376358,839500
2008,,0,0,0,0,6488814,1221918
2009,,0,0,0,0,5453852,1642312
2010,,0,0,0,0,6010924,922470
2011,,0,0,0,0,6014752,160320
2012,,0,0,0,0,8519454,149478
2013,,0,0,0,0,8096322,152508
2014,start of forecast,0,0,0,0,7543509,174491
2015,,0,0,0,0,7721000,0
2016,,0,0,0,0,7722000,0
2017,,0,0,0,0,7724000,0
2018,,0,0,0,0,7724000,0
2019,,0,0,0,0,7725000,0
2020,,0,0,0,0,7726000,0
2021,,0,0,0,0,7726000,0
2022,,0,0,0,0,7728000,0
2023,,0,0,0,0,7731000,0
2024,,0,0,0,0,7733000,0
2025,,0,0,0,0,7734000,0
2026,,0,0,0,0,7735000,0
2027,,0,0,0,0,7736000,0
2028,,0,0,0,0,7737000,0
2029,,0,0,0,0,7733000,0
2030,,0,0,0,0,7731000,0
2031,,0,0,0,0,7730000,0
2032,,0,0,0,0,7732000,0
2033,,0,0,0,0,7736000,0
2034,,0,0,0,0,7739000,0
2035,,0,0,0,0,7741000,0
2036,,0,0,0,0,7741000,0
2037,,0,0,0,0,7740000,0
2038,,0,0,0,0,7739000,0
2039,,0,0,0,0,7740000,0
2040,,0,0,0,0,7741000,0
