year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,68903.0,58955.3588312
2018,68903.0,58955.3588312
2019,68902.0,58954.3588312
2020,68902.0,58954.3588312
2021,68901.0,58953.3588312
2022,68899.0,58951.3588312
2023,68897.0,58949.3588312
2024,67939.0,57991.3588312
2025,67938.0,57990.3588312
2026,67938.0,57990.3588312
2027,67937.0,57989.3588312
2028,67936.0,57988.3588312
2029,67939.0,57991.3588312
2030,68897.0,58949.3588312
2031,68898.0,58950.3588312
2032,67940.0,57992.3588312
2033,67937.0,57989.3588312
2034,67934.0,57986.3588312
2035,66976.0,57028.3588312
2036,66976.0,57028.3588312
