year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6934.30365303,4507.29737447
2018,6933.59214644,4506.83489519
2019,6932.81019098,4506.32662414
2020,6932.63366393,4506.21188155
2021,6932.00691192,4505.80449275
2022,6930.48645797,4504.81619768
2023,6927.94894909,4503.16681691
2024,6926.07679063,4501.94991391
2025,6924.86755334,4501.16390967
2026,6924.61949774,4501.00267353
2027,6923.87020249,4500.51563162
2028,6922.70712135,4499.75962888
2029,6926.0395418,4501.92570217
2030,6928.19916404,4503.32945662
2031,6929.13686278,4503.93896081
