year,annotation,Average Load
2003,,475.0
2004,,509.0
2005,,495.0
2006,,539.0
2007,,599.0
2008,,658.0
2009,,547.0
2010,,605.0
2011,,669.0
2012,,776.0
2013,,748.0
2014,start of forecast,742.0
2015,,742.0
2016,,742.0
2017,,743.0
2018,,743.0
2019,,743.0
2020,,743.0
2021,,743.0
2022,,743.0
2023,,743.0
2024,,743.0
2025,,744.0
2026,,744.0
2027,,744.0
2028,,744.0
2029,,743.0
2030,,743.0
2031,,743.0
2032,,743.0
2033,,744.0
2034,,744.0
2035,,744.0
2036,,744.0
2037,,744.0
2038,,744.0
2039,,744.0
2040,,744.0
