year,Base case cost,Modeled residential energy efficiency
2017,308892.977891,308892.977891
2018,316996.493761,316996.493761
2019,328128.229314,328128.229314
2020,333312.54141,333312.54141
2021,336922.179271,336922.179271
2022,339587.012592,339587.012592
2023,341440.283038,341440.283038
2024,333204.708899,333204.708899
2025,334960.959559,334960.959559
2026,337066.134192,337066.134192
2027,338868.908048,338868.908048
2028,340322.757932,340322.757932
2029,342311.624574,342311.624574
2030,353710.629191,353710.629191
2031,355951.511756,355951.511756
2032,347894.40813,347894.40813
2033,350046.105959,350046.105959
2034,352325.742577,352325.742577
2035,343165.960852,343165.960852
2036,345429.150894,345429.150894
