year,Base case cost,Modeled solar power
2020,259436.265885,265336.199986
2021,271918.49357,277473.72199
2022,281511.725095,286776.295941
2023,288916.156094,293931.29019
2024,295927.563897,300710.578431
2025,303486.368736,308031.427448
2026,312219.517435,316520.934952
2027,320262.70958,324337.338319
2028,327597.042254,331461.344925
2029,336613.734741,340250.743674
2030,343302.217673,346750.021162
2031,352501.63838,355732.382688
2032,362971.492786,365979.507385
2033,372385.146578,375186.245785
2034,383932.467381,386510.354704
2035,391403.846219,393816.112443
2036,403572.600493,405771.33524
2037,411225.132308,413266.884528
2038,422795.294139,424643.043281
2039,432368.835123,434047.449397
