year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.2
2004,,1.85,2.6
2005,,2.31,3.2
2010,,3.17,5.78
2011,,3.77,6.1
2012,,4.04,6.6
2013,,3.84,6.45
2014,,,6.76
2016,,2.14,4.34
2017,,2.55,4.75
2018,,2.86,5.06
2019,,3.27,5.47
2020,,3.46,5.66
2021,,3.6,5.8
2022,,3.7,5.9
2023,,3.77,5.97
2024,,3.83,6.03
2025,,3.9,6.1
2026,,3.98,6.18
2027,,4.05,6.25
2028,,4.11,6.31
2029,,4.19,6.39
2030,,4.24,6.44
2031,,4.32,6.52
2032,,4.41,6.61
2033,,4.49,6.69
2034,,4.59,6.79
2035,,4.64,6.84
2036,,4.74,6.94
2037,,4.79,6.99
2038,,4.88,7.08
2039,,4.95,7.15
2040,,5.06,7.26
