year,Base case diesel consumed,Modeled solar power
2020,74981.5797355,73797.4100267
2021,75532.9148806,74358.2185295
2022,76084.2500257,74918.9512454
2023,76635.5851708,75479.6087808
2024,77265.6824795,76118.9539006
2025,77817.0176246,76679.4628744
2026,78447.1149333,77318.6606211
2027,79077.212242,77957.7855643
2028,79707.3095507,78596.8382864
2029,80337.4068594,79235.8193652
2030,80967.5041681,79874.7293739
2031,81597.6014768,80513.5688809
2032,82306.4609491,81231.100614
2033,82936.5582578,81869.8008054
2034,83645.4177301,82587.1943373
2035,84354.2772024,83304.5195967
2036,85141.8988383,84100.5392934
2037,85850.7583106,84817.7296421
2038,86638.3799465,85613.6155073
2039,87347.2394187,86330.6730951
