year,Base case diesel consumed,Modeled wind power
2019,74430.2445904,55067.7885731
2020,74981.5797355,55619.1237182
2021,75532.9148806,56170.4588634
2022,76084.2500257,56721.7940085
2023,76635.5851708,57273.1291536
2024,77265.6824795,57903.2264623
2025,77817.0176246,58454.5616074
2026,78447.1149333,59084.6589161
2027,79077.212242,59714.7562248
2028,79707.3095507,60344.8535335
2029,80337.4068594,60974.9508422
2030,80967.5041681,61605.0481509
2031,81597.6014768,62235.1454596
2032,82306.4609491,62944.0049319
2033,82936.5582578,63574.1022406
2034,83645.4177301,64282.9617129
2035,84354.2772024,64991.8211852
2036,85141.8988383,65779.442821
2037,85850.7583106,66488.3022933
2038,86638.3799465,67275.9239292
