year,Base case diesel consumed,Modeled transmission and interties
2021,149596.500921,74798.2504604
2022,149596.500921,74798.2504604
2023,149596.500921,74798.2504604
2024,149596.500921,74798.2504604
2025,149596.500921,74798.2504604
2026,149596.500921,74798.2504604
2027,149596.500921,74798.2504604
2028,149596.500921,74798.2504604
2029,149596.500921,74798.2504604
2030,149596.500921,74798.2504604
2031,149596.500921,74798.2504604
2032,149596.500921,74798.2504604
2033,149596.500921,74798.2504604
2034,149596.500921,74798.2504604
2035,149596.500921,74798.2504604
2036,149596.500921,74798.2504604
2037,149446.45428,74723.22714
2038,149446.45428,74723.22714
2039,149446.45428,74723.22714
2040,149446.45428,74723.22714
