year,Base case diesel consumed,Modeled non-residential ashp
2017,8347.90811422,6229.21262359
2018,8347.90811422,6229.21262359
2019,8347.90811422,6229.21262359
2020,8347.90811422,6229.21262359
2021,8347.90811422,6229.21262359
2022,8347.90811422,6229.21262359
2023,8347.90811422,6229.21262359
2024,8347.90811422,6229.21262359
2025,8347.90811422,6229.21262359
2026,8347.90811422,6229.21262359
2027,8347.90811422,6229.21262359
2028,8347.90811422,6229.21262359
2029,8347.90811422,6229.21262359
2030,8347.90811422,6229.21262359
2031,8347.90811422,6229.21262359
