year,Base case cost,Modeled solar power (pv)
2016,83073.3414764,89572.1112062
2017,101800.857763,107871.005235
2018,116206.639522,121919.774056
2019,136592.584997,141871.733633
2020,146211.781124,151217.823304
2021,152945.218412,157725.075669
2022,157503.213897,162089.049209
2023,161344.7557,165754.42865
2024,163963.570339,168214.524642
2025,166784.127289,170873.397216
2026,171085.150629,175003.235261
2027,173870.421852,177634.299347
2028,176443.978711,180063.722326
2029,180724.290863,184183.915683
2030,182806.915861,186135.658599
2031,186778.094358,189953.674436
2032,190426.33174,193452.218154
2033,193730.916821,196610.505291
2034,197461.998955,200192.411545
2035,199750.20167,202353.248611
