year,Base case cost,Modeled biomass for heat (cordwood)
2017,145925.142359,179363.717465
2018,159196.242359,188443.102459
2019,177775.782359,201464.819053
2020,186623.182359,207307.231628
2021,192816.362359,211203.468001
2022,197240.062359,213807.334084
2023,200779.022359,215772.644808
2024,203433.242359,217099.03373
2025,206529.832359,218767.428236
2026,210511.162359,221104.573939
2027,213607.752359,222801.749252
2028,216261.972359,224185.715977
2029,220243.302359,226564.528962
2030,222455.152359,227648.204822
2031,226436.482359,230053.193798
2032,,
2033,,
2034,,
2035,,
2036,,
