year,Base case cost,Modeled non-residential energy efficiency
2017,294987.668678,315698.154357
2018,312787.757637,330926.946826
2019,337707.88218,352837.42371
2020,349574.608152,362589.934154
2021,357881.316333,369049.088256
2022,363814.679319,373322.325584
2023,368561.369709,376517.102834
2024,372121.3875,378632.723684
2025,376274.741591,381330.762712
2026,381614.768278,385164.640712
2027,385768.122369,387917.369759
2028,389328.140161,390142.401408
2029,394668.166848,394055.456634
2030,397634.848341,395777.337471
2031,402974.875029,399740.132977
