year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,167000.0,9342.84,769423.0,339200.0,430223.0
2004,,167000.0,9342.84,894632.0,388160.0,506472.0
2005,,167000.0,9342.84,852500.0,356480.0,496020.0
2006,,167000.0,9342.84,817548.0,267996.0,549552.0
2007,,167000.0,9342.84,864207.0,275040.0,589167.0
2008,,167000.0,9342.84,885172.0,78162.0,807010.0
2009,,167000.0,9342.84,760760.0,42270.0,718490.0
2010,,167000.0,9342.84,699356.0,0.0,699356.0
2011,,167000.0,9342.84,701003.0,0.0,701003.0
2012,,167000.0,9342.84,758481.0,28919.0,729562.0
2013,,167000.0,9342.84,800531.0,326846.0,473685.0
2014,,167000.0,9342.84,819097.0,142871.0,676226.0
2015,,167000.0,9342.84,758557.0,401256.0,357301.0
2016,start of forecast,167000.0,9342.84,793000.0,167000.0,626000.0
2017,,167000.0,9342.84,793000.0,167000.0,626000.0
2018,,167000.0,9342.84,793000.0,167000.0,626000.0
2019,,167000.0,9342.84,794000.0,167000.0,627000.0
2020,,167000.0,9342.84,794000.0,167000.0,627000.0
2021,,167000.0,9342.84,794000.0,167000.0,627000.0
2022,,167000.0,9342.84,793000.0,167000.0,626000.0
2023,,167000.0,9342.84,793000.0,167000.0,626000.0
2024,,167000.0,9342.84,792000.0,167000.0,625000.0
2025,,167000.0,9342.84,790000.0,167000.0,623000.0
2026,,167000.0,9342.84,790000.0,167000.0,623000.0
2027,,167000.0,9342.84,788000.0,167000.0,621000.0
2028,,167000.0,9342.84,787000.0,167000.0,620000.0
2029,,167000.0,9342.84,787000.0,167000.0,620000.0
2030,,167000.0,9342.84,786000.0,167000.0,619000.0
2031,,167000.0,9342.84,785000.0,167000.0,618000.0
2032,,167000.0,9342.84,783000.0,167000.0,616000.0
2033,,167000.0,9342.84,780000.0,167000.0,613000.0
2034,,167000.0,9342.84,777000.0,167000.0,610000.0
2035,,167000.0,9342.84,774000.0,167000.0,607000.0
2036,,167000.0,9342.84,771000.0,167000.0,604000.0
2037,,167000.0,9342.84,769000.0,167000.0,602000.0
2038,,167000.0,9342.84,767000.0,167000.0,600000.0
2039,,167000.0,9342.84,764000.0,167000.0,597000.0
2040,,167000.0,9342.84,761000.0,167000.0,594000.0
