year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,44236.9227101,32735.3228055
2018,44236.9227101,32735.3228055
2019,44236.9227101,32735.3228055
2020,44236.9227101,32735.3228055
2021,44236.9227101,32735.3228055
2022,44236.9227101,32735.3228055
2023,44236.9227101,32735.3228055
2024,44236.9227101,32735.3228055
2025,44236.9227101,32735.3228055
2026,44236.9227101,32735.3228055
2027,44236.9227101,32735.3228055
2028,44236.9227101,32735.3228055
2029,44236.9227101,32735.3228055
2030,44236.9227101,32735.3228055
2031,44236.9227101,32735.3228055
