year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,18861.58,145924.89,182167.83,21732.89,149062.78,117730.28
2018,20577.71,159195.96,197606.75,22394.07,153591.79,121307.31
2019,22982.66,177775.47,219221.25,23322.1,159932.41,126315.15
2020,24127.93,186622.86,229513.87,23763.92,162951.75,128699.84
2021,24927.55,192816.03,236718.7,24071.06,165065.29,130369.12
2022,25494.54,197239.72,241865.01,24286.34,166574.96,131561.46
2023,25949.7,200778.67,245982.05,24460.2,167782.7,132515.33
2024,26285.86,203432.89,249069.84,24585.55,168688.5,133230.74
2025,26678.18,206529.47,252672.26,24732.06,169745.27,134065.38
2026,27188.38,210510.79,257303.93,24926.13,171103.97,135138.49
2027,27576.06,213607.38,255208.36,25068.49,172160.74,133500.89
2028,27909.41,216261.59,258228.71,25191.66,173066.55,134203.29
2029,28423.98,220242.92,262759.23,25390.14,174425.25,135256.89
2030,28703.88,222454.76,265276.19,25494.89,175180.08,135842.22
2031,29212.47,226436.09,269806.72,25687.93,176538.79,136895.82
2032,,,268212.16,,,135394.8
2033,,,272641.54,,,136428.88
2034,,,271224.44,,,134982.06
2035,,,274590.83,,,135771.17
2036,,,272870.28,,,134265.82
