year,Base case cost,Modeled water and wastewater efficiency
2017,40594.4743344,36112.238971
2018,42971.7786177,37546.5921624
2019,46304.7637265,39632.9713982
2020,47891.8488587,40539.9459369
2021,48998.6120271,41125.2004569
2022,49780.8787677,41494.209856
2023,50409.9025514,41763.2425278
2024,50871.4099159,41922.223435
2025,51410.2347945,42137.1745108
2026,52114.512599,42467.9411165
2027,52644.5537709,42683.7142311
2028,53101.0742332,42853.1308336
2029,53814.1153837,43200.0897355
2030,54198.7707295,43327.4212032
2031,54900.4030893,43672.7383775
