year,Base case cost,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,152945.218412,722355.715616,419977.653209
2022,157503.213897,705674.147695,411241.402798
2023,161344.7557,689799.778175,402936.040038
2024,163963.570339,674217.857931,394550.588889
2025,166784.127289,658601.542617,386084.878445
2026,171085.150629,643640.460937,378339.798677
2027,173870.421852,628654.550047,370208.148922
2028,176443.978711,614359.126848,362516.340619
2029,180724.290863,600341.083926,355285.269288
2030,182806.915861,586755.713355,347919.859095
2031,186778.094358,573033.978479,340715.572736
2032,190426.33174,559281.422894,333350.423106
2033,193730.916821,545470.488723,325799.900253
2034,197461.998955,531783.627108,318357.094614
2035,199750.20167,518668.981151,311042.404303
2036,203396.13781,505434.713787,303812.808341
2037,205493.337348,493235.213926,297071.82718
2038,209413.121415,480787.623471,290400.613242
2039,212029.634812,468446.222546,283510.112621
2040,215976.266715,455933.539595,276663.750098
2041,214521.881081,444646.947177,269754.138302
2042,213431.091855,433954.393506,263335.979775
2043,212340.302629,423486.88123,257042.681487
2044,211613.109812,413602.732274,251234.913394
2045,210158.724177,403206.006694,244819.028487
2046,209067.934952,393382.463604,238883.025121
2047,207977.145726,383763.594454,233060.581473
2048,206886.3565,374344.602177,227349.035976
2049,205795.567274,365120.802083,221745.789411
2050,204341.18164,355724.023077,215884.707187
2051,204341.18164,347967.779561,211581.292555
2052,204341.18164,340393.322998,207378.7392
2053,204341.18164,332996.392789,203274.683206
2054,204341.18164,325772.828069,199266.815989
2055,204341.18164,318718.565671,195352.883174
2056,204341.18164,311829.637554,191530.683162
2057,204341.18164,305102.168699,187798.065968
2058,204341.18164,298532.374869,184152.931974
2059,204341.18164,292116.560633,180593.230838
2060,204341.18164,285851.117002,177116.960173
2061,204341.18164,279732.519709,173722.164605
2062,204341.18164,273757.327044,170406.934559
2063,204341.18164,267922.177938,167169.405207
2064,204341.18164,262223.790193,164007.755479
2065,204341.18164,256658.958369,160920.206893
2066,204341.18164,251224.552271,157905.022717
2067,204341.18164,245917.515111,154960.506944
2068,204341.18164,240734.861592,152085.003236
2069,204341.18164,235673.676528,149276.894154
2070,204341.18164,230731.113003,146534.600137
